,show_id,type,title,director,cast,country,date_added,release_year,duration,description,genre
5701,s5702,TV Show,Some Assembly Required,,"Kolton Stewart, Harrison Houde, Charlie Storwick, Sydney Scotia, Travis Turner, Ellie Harvie, Dylan Playfair",Canada,"October 16, 2015",2015,2,A 14-year-old takes ownership of a toy company and hires a group of his friends to help him create amazing new toys.,Kids
5703,s5704,TV Show,Somebody Feed Phil,,Philip Rosenthal,United States,"October 30, 2020",2020,4,"""Everybody Loves Raymond"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more.",Docuseries
5705,s5706,TV Show,Someone Has to Die,Manolo Caro,"Carmen Maura, Cecilia Suárez, Ester Expósito, Ernesto Alterio, Alejandro Speitzer, Isaac Hernández, Carlos Cuevas, Mariola Fuentes, Pilar Castro, Juan Carlos Vellido, Eduardo Casanova, Manuel Morón, Javier Pereira",Mexico,"October 16, 2020",2020,1,"In conservative 1950s Spain, the alleged relationship between a young man and a Mexican ballerino creates an uproar of harrowing consequences.",Crime TV
5706,s5707,TV Show,Someone Like You,,"Kingone Wang, Lorene Ren, Sean Lee, Nita Lei, William Liao",Taiwan,"October 1, 2016",2015,1,"After losing his sight and his fiancee in an accident, a man hires a caregiver who mysteriously sounds – and looks – just like his late girlfriend.",International TV
5708,s5709,TV Show,Something in the Rain,,"Son Ye-jin, Jung Hae-in, Jang So-yeon",South Korea,"May 26, 2018",2018,1,"Reunited with her best friend’s younger brother, who’s back from a stint abroad, a recently dumped career woman begins to see him in a new light.",International TV
5711,s5712,TV Show,Somewhere Between,,"Paula Patton, Devon Sawa, JR Bourne, Aria Birch, Catherine Barroll, Samantha Ferris, Imogen Tear, Daniel Bacon, Carmel Amit, Noel Johansen, Rebecca Staab",United States,"June 30, 2018",2017,1,"A local news producer is given one chance to relive a deadly week and stop a serial killer. If she fails, she'll lose her daughter forever.",Crime TV
5712,s5713,TV Show,Somewhere Only We Know,,"Zhang Chao, Li Tingting, Chen Bohao, Sun Jialing, Zhang Zhang, Li Jiuxiao, Deng Yuli, Li Huan, Fang Wenqiang, Gong Rui",China,"June 15, 2019",2019,1,A language major bickers with – and falls for – a doctoral student as she navigates the ups and downs of love and friendship with college classmates.,International TV
5717,s5718,TV Show,Song Exploder,,Hrishikesh Hirway,United States,"December 15, 2020",2020,2,Get inspired as musicians dig deep into the creative process of songwriting and reveal their intimate thoughts in a series based on the hit podcast.,Docuseries
5719,s5720,TV Show,Sonic X,,"Junichi Kanemaru, Sanae Kobayashi, Ryo Hirohashi, Taeko Kawata, Nobutoshi Canna, Koji Yusa, Rumi Ochiai, Sayaka Aoki, Chikao Otsuka",Japan,"January 29, 2020",2003,2,"A mission gone awry transports Sonic the Hedgehog, his friends, Dr. Eggman and the Chaos Emeralds to another dimension: Earth.",Anime Series
5721,s5722,TV Show,Sons of the Caliphate,,"Yakubu Mohammed, Paul Sambo, Mofe Duncan, Nita Byack George, Yvonne Hays, Mickey Odey, Rahama Sadau, Sani Muazu",Nigeria,"January 24, 2020",2017,2,"Three wealthy, power-hungry men tussle for sovereignty amid corrupt politics, passionate desires and family obligations.",International TV
5724,s5725,TV Show,Sotus The Series,,"Sangpotirat Perawat, Ruangroj Prachaya",Thailand,"May 25, 2019",2016,1,"When freshman engineering student Kongpob stands up to older bully Arthit, their confrontation soon leads to a deep attraction between the two boys.",International TV
5725,s5726,TV Show,Soul Eater,,"Chiaki Omigawa, Laura Bailey, Emiri Kato, Kouki Uchiyama, Micah Solusod, Yumiko Kobayashi, Brittney Karbowski, Mamoru Miyano, Todd Haberkorn, Kaori Nazuka, Monica Rial, Akeno Watanabe, Jamie Marchi, Narumi Takahira, Cherami Leigh, Houko Kuwashima",Japan,"January 16, 2020",2008,1,"Maka and the other students at the Death Weapon Meister Academy must kill 99 evil humans and one witch, absorbing their spirits when they die.",Anime Series
5729,s5730,TV Show,Soundtrack,,"Paul James, Callie Hernandez, Marianne Jean-Baptiste, Jenna Dewan, Jahmil French, Megan Ferguson, Madeleine Stowe, Campbell Scott, Isaiah Givens",United States,"December 18, 2019",2019,1,"Love, loss and transformative luck intersect in this musical drama about two struggling artists experiencing life at full volume in Los Angeles.",Romantic TV
5731,s5732,TV Show,Southern Survival,,,United States,"July 3, 2020",2020,1,"The BattlBox crew tests out products designed to help people survive dangerous situations, including explosions, natural disasters and intruders.",Reality TV
5733,s5734,TV Show,Space Force,,"Steve Carell, John Malkovich, Ben Schwartz, Diana Silvers, Tawny Newsome, Jimmy O. Yang, Don Lake, Lisa Kudrow, Fred Willard, Spencer House, Owen Daniels, Hector Duran, Chris Gethard, Aparna Nancherla",United States,"May 29, 2020",2020,1,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.,TV Comedies
5734,s5735,TV Show,Space Jungle,,"Kim Min-hee, Park Yoon-hee, Sun Sung-wook",,"December 1, 2019",2016,2,"A broken spaceship strands four very tiny aliens on Earth, where they discover an adventure (and strange dangers!) that they never expected.",Kids
5735,s5736,TV Show,Space Racers,,"Yuri Lowenthal, Meyer DeLeeuw, Johnny Yong Bosch, Phil Lollar, Alicyn Packard, Melissa Hutchison, Joseph J. Terry, Danny Katiana, Katie Leigh",United States,"March 31, 2020",2014,1,"Spaceships Eagle, Robyn, Hawk and their pals at the Stardust Space Academy rocket through the galaxy, teaching kids about the wonders of science.",Kids
5737,s5738,TV Show,Spark,,"Jong-chan Na, Bo-ra Nam, Da-young Joo, Yeo One, Ki-sung Bae, Jin-joo Park, Eun-soo Kwon",South Korea,"February 15, 2017",2016,1,A young woman's life gets a jump-start after she and a musical genius are both struck by the same falling star. But will the side effects derail love?,International TV
5740,s5741,TV Show,Sparta,,"Alexander Petrov, Artyom Tkachenko, Valeria Shkirando, Marina Kaletskaya, Alisa Lozovskaya, Olga Sutulova, Fillip Gorenshtein, Olga Vinichenko, Petar Zakavitsa, Yan Gakharmanov",Russia,"February 1, 2019",2018,1,"While investigating the mysterious death of a teacher, a grizzled detective gets caught up in the world of a high-stakes virtual reality game.",Crime TV
5741,s5742,TV Show,Spartacus,,"Andy Whitfield, Liam McIntyre, Dustin Clare, John Hannah, Manu Bennett, Lucy Lawless, Peter Mensah, Nick E. Tarabay, Viva Bianca, Lesley-Ann Brandt, Jai Courtney, Daniel Feuerriegel",United States," February 1, 2015",2013,4,"A Thracian man is condemned to a brutal death in the arena, only to outlast his executioners and be reborn as the enslaved gladiator Spartacus.",TV Action
5742,s5743,TV Show,Special,,"Ryan O'Connell, Jessica Hecht, Punam Patel, Marla Mindelle, Augustus Prew, Patrick Fabian",United States,"April 12, 2019",2019,1,A young gay man with cerebral palsy branches out from his insular existence in hopes of finally going after the life he wants.,TV Comedies
5746,s5747,TV Show,Spectros,,"Danilo Mesquita, Cláudia Okuno, Mariana Sena, Enzo Barone, Drop Dashi, Miwa Yanagizawa, Carlos Takeshi, Daniel Rocha, Kelzy Ecard, Norival Rizzo, Nicolas Trevijano, Jui Huang, Jimmy Wong, Fania Espinosa, Wallie Ruy, Begê Muniz, Antonio Miano, Ricardo Iazzetta, Mayhara Ribeiro, Jairo Mattos",Brazil,"February 20, 2020",2020,1,A group of teens get caught up in a supernatural clash as vengeful spirits from centuries past rise up in the Liberdade district of São Paulo.,International TV
5752,s5753,TV Show,Spice Up,,"Jeanette Aw, Patrick Lee, Huang Qi Ming, Sora Ma, Hong Huifang, Xu Bin, Chen Shucheng",,"July 1, 2017",2014,1,A spoiled young woman steps in to save her family’s restaurant with her cooking and tasting skills while balancing her complicated love life.,International TV
5755,s5756,TV Show,Spinning Out,,"Kaya Scodelario, January Jones, Will Kemp, Willow Shields, Evan Roderick, David James Elliott, Sarah Wright Olsen, Svetlana Efremova, Amanda Zhou, Mitchell Edwards, Kaitlyn Leeb, Johnny Weir",United States,"January 1, 2020",2020,1,"A figure skating Olympic hopeful struggles to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.",TV Dramas
5756,s5757,TV Show,Spirit Riding Free: Pony Tales,,"Amber Frank, Bailey Gambertoglio, Sydney Park, Darcy Rose Byrnes, Gabriella Graves, Duncan Joiner, Nolan North",United States,"October 18, 2019",2019,2,"Find the fun and adventure of ""Spirit Riding Free"" in this mix of music videos and short episodes featuring Lucky and all of her friends!",Kids
5758,s5759,TV Show,Spirit Riding Free: Riding Academy,,"Amber Frank, Bailey Gambertoglio, Sydney Park, Darcy Rose Byrnes, Rhys Darby",United States,"September 4, 2020",2020,2,A new chapter begins for Lucky and her friends as they leave Miradero behind to live and learn at the prestigious Palomino Bluffs Riding Academy.,Kids
5760,s5761,TV Show,Spirit: Riding Free,,"Amber Frank, Sydney Park, Bailey Gambertoglio, Darcy Rose Byrnes, Nolan North, Kari Wahlgren, Andy Pessoa, Tiya Sircar, Jonathan Craig WIlliams, Robert Knepper",United States,"April 5, 2019",2019,8,"In a small Western town, spunky ex-city girl Lucky forms a tight bond with wild horse Spirit while having adventures with best pals Pru and Abigail.",Kids
5761,s5762,TV Show,Spiritual House,,"Hiroyuki Ehara, Miki Sumiyoshi, Sato Kondo, Kazuhiro Kiyohara, Noriko Sakai, Moe Oshikiri, Homare Sawa, Mariko Hayashi",,"May 1, 2018",2017,1,"Psychic Hiroyuki Ehara leads various celebrities through spiritual consultations, probing into their issues and spotlighting their accomplishments.",International TV
5764,s5765,TV Show,Splash and Bubbles,,"John Tartaglia, Leslie Carrara-Rudolph, Raymond Carr, Aymee Garcia",United States," August 13, 2018",2018,2,"Curious pals Splash, Bubbles, Dunk and Ripple have fun exploring new places, making new friends and learning all about their amazing ocean home.",Kids
5768,s5769,TV Show,Spotless,,"Marc-André Grondin, Denis Ménochet, Miranda Raison, Doug Allen, Liam Garrigan, Ciarán Owens, Kate Magowan, Tanya Fear, Naomi Radcliffe, Lucy Akhurst, Jemma Donovan, Niall Hayes, Brendan Coyle",United Kingdom,"October 15, 2016",2015,1,The law-abiding owner of a crime scene cleaning service is forced into business with a powerful mob boss thanks to his irresponsible older brother.,Crime TV
5777,s5778,TV Show,Spy Kids: Mission Critical,,"Ashley Bornancin, Carter Hastings, Caitlyn Bairstow, Nicholas Coombe, Nesta Cooper, Richard Ian Cox, Tom Kenny, Travis Turner, Candi Milo, Mira Sorvino",United States,"November 30, 2018",2018,2,"In this animated spinoff series, Juni and Carmen Cortez must battle the evil organization S.W.A.M.P. – without the help of their super-spy parents.",Kids
5782,s5783,TV Show,Stand Up and Away! with Brian Regan,,Brian Regan,United States,"December 24, 2018",2018,1,Brian Regan blends his trademark observational stand-up with short sketches and a bit of audience interaction in this hybrid comedy series.,Stand-Up
5785,s5786,TV Show,Star Trek,,"William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols, James Doohan, George Takei, Walter Koenig, Grace Lee Whitney, Majel Barrett",United States,"October 1, 2017",1968,3,"Led by unflappable Capt. Kirk, the crew of the starship Enterprise delves deep into the far reaches of space to explore new worlds and civilizations.",Classic
5786,s5787,TV Show,Star Trek: Deep Space Nine,,"Avery Brooks, Nana Visitor, Rene Auberjonois, Cirroc Lofton, Alexander Siddig, Colm Meaney, Armin Shimerman, Terry Farrell, Michael Dorn",United States,"January 1, 2017",1999,7,"In this ""Star Trek"" spin-off, Commander Sisko leads the multi-species crew of Deep Space Nine, a Federation space station with a complex mission.",TV Action
5787,s5788,TV Show,Star Trek: Enterprise,,"Scott Bakula, John Billingsley, Jolene Blalock, Dominic Keating, Anthony Montgomery, Linda Park, Connor Trinneer",United States,"October 1, 2017",2004,4,"Capt. Archer and his crew explore space and discover human innovation-expanding technologies as they meet new alien races in this ""Star Trek"" prequel.",Classic
5788,s5789,TV Show,Star Trek: The Next Generation,,"Patrick Stewart, Jonathan Frakes, LeVar Burton, Michael Dorn, Marina Sirtis, Brent Spiner, Gates McFadden, Majel Barrett, Wil Wheaton",United States,"April 2, 2018",1993,7,"Decades after the adventures of the original Enterprise crew, Capt. Jean-Luc Picard leads a new Enterprise on missions to explore unknown worlds.",TV Action
5789,s5790,TV Show,Star Trek: Voyager,,"Kate Mulgrew, Robert Beltran, Roxann Dawson, Jennifer Lien, Robert Duncan McNeill, Ethan Phillips, Robert Picardo, Tim Russ, Jeri Ryan, Garrett Wang, Tarik Ergin",United States,"October 1, 2017",2000,7,"On Voyager's 75-year journey back to Earth, the crew members encounter unknown species as they draw closer to a mysterious quadrant of space.",TV Action
5791,s5792,TV Show,Star-Crossed,,"Aimee Teegarden, Matt Lanter, Grey Damon, Malese Jow, Greg Finley, Natalie Hall, Titus Makin Jr., Chelsea Gilligan",United States,"April 16, 2015",2014,1,The passionate love between an alien boy and a human girl grows more and more dangerous as they face the wrath of their families and communities.,Romantic TV
5792,s5793,TV Show,StarBeam,,"Nahanni Mitchell, Dean Petriw, Terry Klassen, Sam Vincent, Rhona Rees, Diana Kaarina",United States,"September 8, 2020",2020,2,"When colorful villains come out to play, 8-year-old Zoey has the power to transform into StarBeam, a kid-sized superhero. She saves the day, every day!",Kids
5795,s5796,TV Show,Stargate SG-1,,"Richard Dean Anderson, Michael Shanks, Amanda Tapping, Christopher Judge, Don S. Davis, Corin Nemec, Ben Browder, Beau Bridges, Gary Jones",United States,"December 1, 2020",2006,10,Stargate Command roars into action when Jack O'Neill and his crew find a Stargates map that lets them combat alien maneuvers all across the galaxy.,Classic
5799,s5800,TV Show,Start-Up,,"Bae Suzy, Nam Joo-hyuk, Kim Seon-ho, Kang Han-na, Kim Do-wan, Yu Su-bin, Stephanie Lee, Kim Hae-sook, Seo Yi-sook, Song Sun-mi",South Korea,"October 18, 2020",2020,1,Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.,International TV
5801,s5802,TV Show,Stateless,,"Yvonne Strahovski, Jai Courtney, Cate Blanchett, Asher Keddie, Fayssal Bazzi, Dominic West",Australia,"July 8, 2020",2020,1,"Four strangers — a woman on the run, a brave refugee, a driven bureaucrat and a struggling dad — intersect at an Australian immigration detention center.",International TV
5802,s5803,TV Show,Station Horizon,,"Bernard Yerlès, Roland Vouilloz, Gaspard Boesch, Alexandra Vandernoot, Marie Fontannaz, Lavinia Longhi, Baptiste Gilliéron",Switzerland,"September 1, 2016",2015,1,"Ex-con Joris returns to his Swiss hometown, a community obsessed with American culture and ideals, to start over and save his family's gas station.",International TV
5803,s5804,TV Show,Stay Here,,"Genevieve Gorder, Peter Lorimer",United States,"August 17, 2018",2018,1,Designer Genevieve Gorder and real estate expert Peter Lorimer show property owners how to turn their short-term rentals into moneymaking showstoppers.,Reality TV
5804,s5805,TV Show,Stay Tuned!,,"Kyoko Yoshine, Hiroki Iijima, Kanako Miyashita, Yo Oizumi, Ken Yasuda",Japan,"March 21, 2019",2019,1,"She's the most unlikely candidate to ever stumble into the role of a reporter, and she’s keeping everyone on their toes with her eccentric ways.",International TV
5818,s5819,TV Show,Still Game,,"Ford Kiernan, Paul Riley, Jane McCarry, Greg Hemphill, Mark Cox, Gavin Mitchell, Sanjeev Kohli",United Kingdom,"December 30, 2020",2018,9,"Scottish pensioners Jack and Victor make the most of their golden years, getting themselves into all kinds of scrapes in their Glasgow suburb.",British TV
5821,s5822,TV Show,Stoked,,"Terry McGurrin, Katie Crown, Kristin Fairlie, Mazin Elsadig, Anastasia Phillips, Arnold Pinnock, Jamie Spilchuk, Lauren Lipson, Fiona Reid, Jeff Geddis",United States,"December 16, 2017",2010,1,Six teenage groms come together one summer to share a dream: to work at the world-renowned Surfer's Paradise Resort on the legendary Sunset Island.,Kids
5822,s5823,TV Show,Stolen Away,,"Daniel Grao, Carolina Lapausa, Melani Olivares, Adriana Paz, Fernando Solórzano, Juan Carlos Messier, Jon Arias, Verónica Velásquez, David Trejos, Ana Maria Orozco",Spain,"October 23, 2020",2020,1,"Searching for his kidnapped daughter, Antonio sets off a series of events affecting scores of people when he maneuvers to be sent to prison in Colombia.",Crime TV
5823,s5824,TV Show,Stone Age,,"Samantha Moon, Nancy Kim, Jacqueline Youn, Mike Yantzi, Anna Paik, Matt Anipen, Josh Schwartzentruber",South Korea,"July 1, 2019",2017,1,"Woody sets out to become the Stone Age's best animal trainer with a little help from his faithful pet dinosaur, Moga.",Kids
5826,s5827,TV Show,Storage Wars: Northern Treasures,,"Ursula Stolf, Paul Kenny, Bogart Kenny, Roy Dirnbeck, Don Reinhart, Rick Coffill, Cindy Hayden",United States,"July 22, 2019",2015,1,"In Canada, a colorful collection of treasure-seeking scavengers bid on the largely unknown contents of repossessed and abandoned storage units.",International TV
5827,s5828,TV Show,Stories by Rabindranath Tagore,Anurag Basu,,India,"July 5, 2018",2015,1,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,International TV
5829,s5830,TV Show,StoryBots Super Songs,,"Judy Greer, Jeff Gill, Erin Fitzgerald, Fred Tatasciore, Gregg Spiridellis",United States,"October 7, 2016",2016,1,"Characters from the popular StoryBots apps for early childhood education give musical lessons on math, science, history, behaviors, emotions and more.",Kids
5834,s5835,TV Show,Stranger,,"Seung-woo Cho, Doona Bae, Joon-hyuk Lee, Kyeong-yeong Lee, Jae-myung Yoo, Hye-sun Shin",South Korea,"August 16, 2020",2020,2,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.",Crime TV
5836,s5837,TV Show,Stranger Things,,"Winona Ryder, David Harbour, Finn Wolfhard, Millie Bobby Brown, Gaten Matarazzo, Caleb McLaughlin, Natalia Dyer, Charlie Heaton, Cara Buono, Noah Schnapp, Matthew Modine, Joe Keery, Dacre Montgomery, Sadie Sink, Paul Reiser, Sean Astin",United States,"July 4, 2019",2019,3,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.",TV Horror
5837,s5838,TV Show,Strangers from Hell,,"Lee Dong-wook, Im Si-wan, Lee Jung-eun, Lee Hyun-wook, Park Jong-hwan, Lee Joong-ok, Ahn Eun-jin",South Korea,"May 15, 2020",2019,1,Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors.,International TV
5838,s5839,TV Show,Strawberry Shortcake: Berry Bitty Adventures,,"Anna Cummer, Janyse Jaud, Andrea Libman, Britt McKillip, Ingrid Nilson, Ashleigh Ball",France,"January 1, 2016",2015,1,"Join Strawberry Shortcake and her berry best friends in the whimsical land of Berry Bitty City, where they learn about teamwork and decision-making.",Kids
5842,s5843,TV Show,Street Food,,,United States,"April 26, 2019",2019,1,Embark on a global cultural journey into street food and discover the stories of the people who create the flavorful dishes.,Docuseries
5843,s5844,TV Show,Street Food: Latin America,,,,"July 21, 2020",2020,1,"In this vibrant docuseries, Latin American chefs tell their stories and bring a taste of tradition and innovation to their delicious offerings.",Docuseries
5844,s5845,TV Show,Stretch Armstrong & the Flex Fighters,,"Scott Menville, Steven Yeun, Ogie Banks, Wil Wheaton, Keith David, Miguel Ferrer, David Kaye, Kate Mulgrew, Nazneen Contractor, Felicia Day",United States,"September 7, 2018",2018,2,Jake Armstrong and his best friends are unexpectedly transformed into superheroes who learn to reach far beyond the limits of any ordinary teenager.,Kids
5850,s5851,TV Show,Strong,,Gabrielle Reece,United States,"October 1, 2018",2016,1,Gabrielle Reece hosts a transformative competition of tough fitness challenges as 10 women partner with 10 elite personal trainers.,Reality TV
5851,s5852,TV Show,Strong Girl Bong-soon,,"Park Bo-young, Park Hyung-sik, Ji Soo, Shim Hye-jin, Yu Jae-myeong, Jeon Seok-ho, Im Won-hee, Kim Won-hae",South Korea,"November 24, 2019",2017,1,"Born with supernatural strength, Bong-soon fights evil and procures justice while getting tangled in a love triangle with her CEO boss and cop crush.",Crime TV
5854,s5855,TV Show,Strongest Deliveryman,,"Ko Kyung-pyo, Chae Soo-bin, Kim Seon-ho, Go Won-hee",South Korea,"November 23, 2020",2017,1,Two gutsy food delivery workers strive to overcome their socioeconomic disadvantages to achieve big goals – and bump into love along the way.,International TV
5855,s5856,TV Show,Strongland,,,,"January 18, 2019",2018,1,"From Spain's countryside to Scotland's stony terrain, this collection of uplifting documentaries explores the cultural roots of great strongman traditions.",Docuseries
5862,s5863,TV Show,Stunt Science,,,United Kingdom,"October 15, 2018",2018,1,"When it comes to daring stunts and outrageous pranks, we often wonder: What were they thinking? This high-octane series tries to find some answers.",British TV
5864,s5865,TV Show,Styling Hollywood,,"Jason Bolden, Adair Curtis",,"August 30, 2019",2019,1,"Whether styling superstars or elevating A-list homes, couple Jason Bolden and Adair Curtis of JSN Studio connect famous clientele with the chicest looks.",Reality TV
5867,s5868,TV Show,Suburra: Blood on Rome,,"Alessandro Borghi, Giacomo Ferrara, Eduardo Valdarnini, Francesco Acquaroli, Filippo Nigro, Claudia Gerini, Adamo Dionisi, Barbara Chichiarelli, Federico Tocci, Gerasimos Skiadaresis, Elisabetta De Palo, Carlotta Antonelli, Renato Marchetti, Paola Sotgiu",Italy,"October 30, 2020",2020,3,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.",Crime TV
5870,s5871,TV Show,Sudden,,"Rui En, Romeo Tan, Rebecca Lim, Zhang Zhenhuan",Singapore,"October 1, 2017",2013,1,A car accident sends four lawyers spiraling in different directions as they scramble to rebuild their shattered lives.,International TV
5873,s5874,TV Show,Sugar Rush,,"Candace Nelson, Adriano Zumbo, Hunter March",United States,"July 31, 2020",2020,3,Time's the most important ingredient as teams race against the clock – and each other – to bake up the best-tasting sweets.,Reality TV
5874,s5875,TV Show,Sugar Rush Christmas,,"Hunter March, Candace Nelson, Adriano Zumbo",United States,"November 27, 2020",2020,2,"It's everything you love about ""Sugar Rush"" – with a holly jolly holiday twist – in this Christmas-themed spin on competitive baking.",Reality TV
5877,s5878,TV Show,Suits,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018,1,A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,International TV
5880,s5881,TV Show,Summertime,,"Coco Rebecca Edogamhe, Ludovico Tersigni, Amanda Campana, Andrea Lattanzi, Giovanni Maini, Alicia Ann Edogamhe, Thony",Italy,"April 29, 2020",2020,1,Two young adults from very different backgrounds fall in love during a summer on Italy’s Adriatic Coast. Inspired by Federico Moccia's book series.,International TV
5883,s5884,TV Show,Sunderland 'Til I Die,,,United Kingdom,"April 1, 2020",2020,2,This docuseries follows English soccer club Sunderland through the 2017-18 season as they try to bounce back after relegation from the Premier League.,British TV
5885,s5886,TV Show,Sunny Bunnies,,"Svetlana Tsimokhina, Dmitri Davidovich",Belarus,"July 15, 2020",2016,2,"Furry little bunnies hop through wild adventures as they find solutions, fun and sometimes mischief wherever there is light.",British TV
5887,s5888,TV Show,Super Bheem,,"Sonal Kaushal, Rupa Bhimani, Julie Tejwani, Sabina Malik, Jigna Bharadhwaj, Rajesh Kawa",India,"June 28, 2019",2019,1,"In this 3D-animated spinoff from the Chhota Bheem series, valiant superhero Bheem goes beyond his village to fight the good fight across the universe.",Kids
5891,s5892,TV Show,Super Drags,,"Fernando Mendonça, Sérgio Cantú, Wagner Follare, Pabllo Vittar, Silvetty Montilla, Rapha Vélez, Sylvia Salustti, Guilherme Briggs",Brazil,"November 9, 2018",2018,1,"In this adult animated series, three gay co-workers lead double lives as drag queen superheroes, saving the LGBTQ community from evil nemeses.",International TV
5892,s5893,TV Show,Super Monsters,,"Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina",,"October 4, 2019",2019,3,Preschool kids whose parents are the world's most famous monsters try to master their special powers while preparing for kindergarten.,Kids
5896,s5897,TV Show,Super Monsters Monster Party,,"Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina",,"September 14, 2018",2018,1,"Sing along and move to this groovy collection of music videos featuring monster friends Katya, Lobo, Zoe, Drac, Cleo and Frankie!",Kids
5897,s5898,TV Show,Super Monsters Monster Pets,,"Erin Mathews, Kathleen Barr, Chiara Zanni, Rebecca Shoichet, Sabrina Pitre, Ingrid Nilson, Alessandro Juliani, Elyse Maloway, Vincent Tong",United States,"June 7, 2019",2019,1,The adorably magical Monster Pets star in a series of short adventures that are big on fun – and full of surprises!,Kids
5905,s5906,TV Show,Super Wings,,"Luca Padovan, Evan Smolin, Junah Jang, Colin Critchley",United States,"December 1, 2020",2020,3,A cheerful jet and his transforming pals strive to find peaceful solutions to their problems while delivering packages to children around the globe.,Kids
5908,s5909,TV Show,Supergirl,Jesse Warn,"Melissa Benoist, Mehcad Brooks, Chyler Leigh, Jeremy Jordan, David Harewood, Calista Flockhart, Emma Tremblay, Adrian Pasdar, Katie McGrath, David St. Louis, Odette Annable, Floriana Lima, Erica Durance",United States,"May 25, 2020",2019,5,"To avert a disaster, Kara Danvers reveals her powers and true identity: She is Superman's cousin, now known as Supergirl, protector of National City.",TV Action
5911,s5912,TV Show,Supermarket Sweep,,,United States,"July 2, 2020",1993,1,"In this iconic game show, contestants answer food trivia questions then race against the clock while stuffing their carts for massive grocery gains.",Reality TV
5912,s5913,TV Show,Supernatural,Phil Sgriccia,"Jared Padalecki, Jensen Ackles, Mark Sheppard, Misha Collins, Jim Beaver, Andrea Menard, Samantha Smith, Mark Pellegrino, Alexander Calvert",United States,"June 5, 2020",2019,15,"Siblings Dean and Sam crisscross the country, investigating paranormal activity and picking fights with demons, ghosts and monsters.",Classic
5913,s5914,TV Show,SuperNature: Wild Flyers,,,United Kingdom,"March 1, 2017",2016,1,This series examines the aerodynamics of flight and the evolutionary processes that have enabled certain species to survive by taking to the skies.,British TV
5921,s5922,TV Show,Surviving Death,,,United States,"January 6, 2021",2021,1,"What happens after we die? This docuseries explores personal stories and research on near-death experiences, reincarnation and paranormal phenomena.",Docuseries
5922,s5923,TV Show,Surviving Escobar - Alias JJ,,"Juan Pablo Urrego, Amparo Grisales, Nicole Santamaría, Elkin Díaz, Francisco Javier Rueda, Ramsés Ramos, Lina Marcela Castrillón, Toto Vega, Camilo Sáenz, Mijail Mulkay, Natasha Klauss, Nelson Camayo",,"August 1, 2017",2017,1,"As the Medellín Cartel crumbles, Pablo Escobar's No. 1 hit man struggles to stay alive and gain respect in the prison hierarchy.",Crime TV
5923,s5924,TV Show,Surviving R. Kelly,,R. Kelly,United States,"September 15, 2019",2019,1,"In this documentary series on the tangled history of allegations against musician R. Kelly, women give detailed accounts of sexual and mental abuse.",Crime TV
5924,s5925,TV Show,Surviving R. Kelly Part II: The Reckoning,,R. Kelly,United States,"April 13, 2020",2020,1,"As more women come forward with harrowing accusations against R. Kelly, his criminal case gains momentum in this follow-up to the powerful docuseries.",Crime TV
5926,s5927,TV Show,Survivor,,"Jeff Probst, Jerri Manthey, Colby Donaldson, Rupert Boneham, Parvati Shallow, Rob Mariano, Amanda Kimmel, James Clement, Amber Brkich, Alicia Calaway, Ethan Zohn, Tina Wesson",United States,"November 15, 2020",2014,2,"In this long-running reality competition series, players battle the elements and each other as they vie for $1 million and the title of Sole Survivor.",Reality TV
5934,s5935,TV Show,Swami Baba Ramdev: The Untold Story,,"Naman Jain, Kranti Prakash Jha, Tej Sapru, Chetan Pandit, Hitesh Bhardwaj, Sadhil Kapoor",,"May 1, 2018",2018,1,"Born into poverty and denied an education, a village boy overcomes society’s obstacles to become India’s foremost spiritual guru, revered by millions.",International TV
